Comment,Designator,Footprint,JLCPCB Part #
164G_FC_BW-3LP,DS1,164GFCBW3LP,
DNF,JP1,1X02,
C5156615,JP3,1X06-BIG,
C5156616,"JP2, JP4",1X08-BIG,
C5156617,U$2,1X10-BIG,
43650-0424,J1,43650-04YY_242526,C492464
100nF,"C1, C6, C8",CAPC1608X85,C105907
1uF,"C12, C9",CAPC1608X85,C15849
10uF,"C34, C35, C36, C37",CAPC2012X110,C2922480
CRE1S0505S,PS1,CRE1(SC),C7465127
ESP32-DEVKITC-32E,U2,MODULE_ESP32-DEVKITC-32E,
8MHz,Y1,OSC_CSTNE8M00GH5C000R0,C341522
C143785,"VR1, VR2",PEC12R4215FN0024,
120R,"R2, R4",RESC1608X60,C122081
1k,"R1, R3",RESC1608X60,C22765
M7,D1,SMB,C95872
MCP2515-I/SO,U1,SOIC127P1030X265-18N,
ISO1050DUB,U4,SOP254P1040X485-8,
NCP1117ST50T3G,U7,SOT223,C156196
C455095,"CHANGE, OUTPUT, SET_BUFFER, VIEW",SWITCH-MOMENTARY-PTH-6.5MM,
DNF,"I_DOWN, I_UP, V_DOWN, V_UP",SWITCH-MOMENTARY-PTH-6.5MM,
